name,objective,method,structure,target,zero_handling,arm,total_predicted_reserve,total_true_reserve,total_reserve_error,total_reserve_error_pct,max_ay_error_pct,rmse,mae
lightgbm_tweedie__per_dy__raw__two_stage,tweedie_lgbm,lightgbm,per_dy,raw,two_stage,cv_dy,540283274.2456537,363119152.06,177164122.18565375,48.789528500655905,217.20061871801204,80063.45617056811,4435.359806948388
lightgbm_tweedie__per_dy__raw__two_stage,tweedie_lgbm,lightgbm,per_dy,raw,two_stage,cv_dy_bs1,433459840.2649541,363119152.06,70340688.20495409,19.371241589959247,160.32576884860634,79867.90522450465,3887.3539066229514
lightgbm_tweedie__per_dy__raw__two_stage,tweedie_lgbm,lightgbm,per_dy,raw,two_stage,cv_dy_bsmean,481956310.11711955,363119152.06,118837158.05711955,32.72676678796702,189.65133198107378,79971.9309761265,4124.204360328297
lightgbm_tweedie__per_dy__raw__two_stage,tweedie_lgbm,lightgbm,per_dy,raw,two_stage,cv_dy_heur,533511823.4912373,363119152.06,170392671.43123728,46.92472717690265,213.971491662071,79984.98224520113,4398.967374286114
lightgbm_tweedie__per_dy__raw__two_stage,tweedie_lgbm,lightgbm,per_dy,raw,two_stage,cv_dy_zcv,497553900.65337384,363119152.06,134434748.59337384,37.02221373637723,194.45067877024974,79959.22679968829,4215.45804811929
lightgbm_tweedie__per_dy__raw__two_stage,tweedie_lgbm,lightgbm,per_dy,raw,two_stage,cv_global,540283274.2456537,363119152.06,177164122.18565375,48.789528500655905,217.20061871801204,80063.45617056811,4435.359806948388
lightgbm_tweedie__per_dy__raw__two_stage,tweedie_lgbm,lightgbm,per_dy,raw,two_stage,cv_type,460164422.4395984,363119152.06,97045270.37959838,26.72546182955481,149.18647757518997,79796.82239300237,3829.391828721692
lightgbm_tweedie__per_dy__raw__two_stage,tweedie_lgbm,lightgbm,per_dy,raw,two_stage,cv_type_bs1,444025546.6479113,363119152.06,80906394.58791131,22.280949415343077,155.1464495938796,79514.20555018232,3794.22542511087
lightgbm_tweedie__per_dy__raw__two_stage,tweedie_lgbm,lightgbm,per_dy,raw,two_stage,duan,433459840.2649541,363119152.06,70340688.20495409,19.371241589959247,160.32576884860634,79867.90522450465,3887.3539066229514
lightgbm_tweedie__per_dy__raw__two_stage,tweedie_lgbm,lightgbm,per_dy,raw,two_stage,insample_global,522176103.88645005,363119152.06,159056951.82645005,43.80296410258423,207.42455390272113,80017.44932704339,4344.505003328191
lightgbm_tweedie__per_dy__raw__two_stage,tweedie_lgbm,lightgbm,per_dy,raw,two_stage,iso_global,556087138.7167623,363119152.06,192967986.6567623,53.141781578317094,192.11242853211655,82404.22676161442,4471.076590094567
lightgbm_tweedie__per_dy__raw__two_stage,tweedie_lgbm,lightgbm,per_dy,raw,two_stage,none,433459840.2649541,363119152.06,70340688.20495409,19.371241589959247,160.32576884860634,79867.90522450465,3887.3539066229514
